ID_centre;ID_unic;Nom_centre;Ubicacio_centre;Contacte_centre;Twitter;Instagram;Altres_xarxes_socials;Especie;Punt_Immersio;Profunditat_superior;Profunditat_inferior;Abundancia;Latitud;Longitud;Comentaris;Dubtes
1;01_11;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Punta S'Oliguera ;15;30;molt abundant;;;Pendent coordenades;
1;01_12;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Racó d'en Sanés ;15;25;molt abundant;;;Pendent coordenades;
1;01_13;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Messina Sud ;10;25;poc abundant;42,290116;3,308604;Coordenades: boies PN Cap de Creus;
1;01_14;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Ses Ielles ;10;25;poc abundant;42,311807;3,309753;Coordenades: boies PN Cap de Creus;
1;01_15;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Es forcats ;10;25;molt abundant;42,313545;3,315517;Coordenades: boies PN Cap de Creus;Dubte els forcats: Jugadora (42.313545 , 3.315517) o Llevant (42.313856 , 3.317228) ?
1;01_16;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;S'encalladora ;10;25;poc abundant;42,320535;3,324116;Coordenades: boies PN Cap de Creus;
1;01_17;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Massa D'or ;15;25;poc abundant;42,319127;3,33157;Coordenades: extrapolades;
1;01_18;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Forallons de Culip ;15;25;molt abundant;42,325119;3,310939;Coordenades: boies PN Cap de Creus;
1;01_19;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Punta del Pelegrí ;10;25;poc abundant;42,252745;3,277820;Coordenades: boies PN Cap de Creus;Dubte: la boia correspon a la Cova del Pelegri: boia nº 16
1;01_20;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;Clot del boc ;15;15;poc abundant;42,243999;3,264947;Coordenades: boies PN Cap de Creus;
1;01_21;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;El gat Nord ;15;25;molt abundant;42,236813;3,263715;Coordenades: boies PN Cap de Creus;Dubte: la boia correspon al Gat W: boia nº 10
1;01_22;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Eunicella_singularis;El gat ;15;25;molt abundant;42,236801;3,263061;Coordenades: boies PN Cap de Creus;Dubte: la boia correspon al Gat E: boia nº 9
1;01_23;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Punta S'Oliguera ;25;40;molt abundant;;;Pendent coordenades;
1;01_24;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Racó d'en Sanés ;25;30;poc abundant;;;Pendent coordenades;
1;01_25;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Messina Sud ;25;30;poc abundant;42,290116;3,308604;Coordenades: boies PN Cap de Creus;
1;01_26;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Ses Ielles ;25;40;molt abundant;42,311807;3,309753;Coordenades: boies PN Cap de Creus;
1;01_27;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Es forcats ;25;40;molt abundant;42,313545;3,315517;Coordenades: boies PN Cap de Creus;Dubte els forcats: Jugadora (42.313545 , 3.315517) o Llevant (42.313856 , 3.317228) ?
1;01_28;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Popa d'es Vaixell ;25;40;molt abundant;;;Pendent coordenades;
1;01_29;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;S'encalladora ;30;40;poc abundant;42,320535;3,324116;Coordenades: boies PN Cap de Creus;
1;01_30;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Massa D'or ;25;40;molt abundant;42,319127;3,33157;Coordenades: extrapolades;
1;01_31;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Forallons de Culip ;25;35;molt abundant;42,325119;3,310939;Coordenades: boies PN Cap de Creus;
1;01_32;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Punta del Pelegrí ;25;40;molt abundant;42,252745;3,277820;Coordenades: boies PN Cap de Creus;Dubte: la boia correspon a la Cova del Pelegri: boia nº 16
1;01_33;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Cova del Tamariu ;10;25;molt abundant;;;Pendent coordenades;
1;01_34;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;Clot del boc ;15;30;molt abundant;42,243999;3,264947;Coordenades: boies PN Cap de Creus;
1;01_35;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;El gat Nord ;15;30;molt abundant;42,236813;3,263715;Coordenades: boies PN Cap de Creus;Dubte: la boia correspon al Gat W: boia nº 10
1;01_36;Sotamar Diving Center;Cadaqués;diving@sotamar.com;;sotamar_cadaques;Facebook: Sotamar Cadaqués;Corallium_rubrum;El gat ;15;30;molt abundant;42,236801;3,263061;Coordenades: boies PN Cap de Creus;Dubte: la boia correspon al Gat E: boia nº 9
